cnpj;nome_fantasia;cnae_fiscal_principal;descricao_cnae;segmento_varejo;exposicao_ecommerce;bairro;bairro_normalizado;eh_centro;data_inicio_atividade;situacao_cadastral;descricao_situacao_cadastral;baixada;data_fechamento;ano_fechamento;mes_fechamento;periodo_fechamento;fechou_desde_2000
59211129000191;COMERCIAL BRAZ;4744099;Comércio varejista de materiais de construção em geral;Casa e construção;Média;JARDIM GLORIA;JARDIM GLORIA;False;2025-01-31;02;ATIVA;False;;;;;False
59221026000102;;4744099;Comércio varejista de materiais de construção em geral;Casa e construção;Média;JARDIM IBIRAPUERA;JARDIM IBIRAPUERA;False;2025-01-31;08;BAIXADA;True;2025-05-18;2025;5;2022-2026;True
59221768000138;;4754701;Comércio varejista de móveis;Casa e decoração;Alta;SAO DIMAS;SAO DIMAS;False;2025-01-31;02;ATIVA;False;;;;;False
59232550000189;;4723700;Comércio varejista de bebidas;Varejo alimentar;Média;PIRACICAMIRIM;PIRACICAMIRIM;False;2025-02-01;02;ATIVA;False;;;;;False
59281417000112;;4781400;Comércio varejista de artigos do vestuário e acessórios;Moda;Alta;JARDIM SAO FRANCISCO;JARDIM SAO FRANCISCO;False;2025-02-04;02;ATIVA;False;;;;;False
59358719000141;;4713002;Lojas de variedades, exceto lojas de departamentos ou magazines;Varejo não especializado;Alta;SAO DIMAS;SAO DIMAS;False;2025-02-07;02;ATIVA;False;;;;;False
55282821000150;SUBLIMAPIRA DISTRIBUIDORA;4759899;Comércio varejista de outros artigos de uso pessoal e doméstico não especificados anteriormente;Casa e decoração;Alta;PAULISTA;PAULISTA;False;2024-05-26;02;ATIVA;False;;;;;False
59413244000149;;4781400;Comércio varejista de artigos do vestuário e acessórios;Moda;Alta;PARQUE SANTA CECILIA;PARQUE SANTA CECILIA;False;2025-02-11;02;ATIVA;False;;;;;False
59504193000160;;4772500;Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal;Beleza e cuidados pessoais;Alta;PARQUE RESIDENCIAL PIRACICABA;PARQUE RESIDENCIAL PIRACICABA;False;2025-02-17;02;ATIVA;False;;;;;False
59510173000100;;4721102;Padaria e confeitaria com predominância de revenda;Varejo alimentar;Baixa/Não direta;BOSQUE DOS LENHEIROS;BOSQUE DOS LENHEIROS;False;2025-02-17;02;ATIVA;False;;;;;False
59589271000177;;4774100;Comércio varejista de artigos de óptica;Óptica;Média;PIRACICAMIRIM;PIRACICAMIRIM;False;2025-02-21;02;ATIVA;False;;;;;False
59600136000185;;4781400;Comércio varejista de artigos do vestuário e acessórios;Moda;Alta;POMPEIA;POMPEIA;False;2025-02-21;02;ATIVA;False;;;;;False
59622387000160;;4723700;Comércio varejista de bebidas;Varejo alimentar;Média;JARDIM SAO JOSE;JARDIM SAO JOSE;False;2025-02-24;02;ATIVA;False;;;;;False
59638804000163;;4724500;Comércio varejista de hortifrutigranjeiros;Varejo alimentar;Baixa/Não direta;NOVA AMERICA;NOVA AMERICA;False;2025-02-25;02;ATIVA;False;;;;;False
59684093000163;;4744099;Comércio varejista de materiais de construção em geral;Casa e construção;Média;JARDIM ASTURIAS I;JARDIM ASTURIAS I;False;2025-02-27;02;ATIVA;False;;;;;False
59687861000132;;4763602;Comércio varejista de artigos esportivos;Esporte e lazer;Alta;NOVA PIRACICABA;NOVA PIRACICABA;False;2025-02-27;02;ATIVA;False;;;;;False
48281165000105;;4789099;Comércio varejista de outros produtos não especificados anteriormente;Outros varejos;Média;PIRACICAMIRIM;PIRACICAMIRIM;False;2022-10-13;02;ATIVA;False;;;;;False
59719295000101;PIRACICABA JOIAS;4783101;Comércio varejista de artigos de joalheria;Joalheria e relojoaria;Alta;CENTRO;CENTRO;True;2025-02-28;08;BAIXADA;True;2025-06-10;2025;6;2022-2026;True
59733186000130;;4723700;Comércio varejista de bebidas;Varejo alimentar;Média;JARDIM DOS MANACAS;JARDIM DOS MANACAS;False;2025-03-03;08;BAIXADA;True;2025-09-02;2025;9;2022-2026;True
59759384000173;ML EQUIPAMENTOS HIDRAULICOS;4789099;Comércio varejista de outros produtos não especificados anteriormente;Outros varejos;Média;POMPEIA;POMPEIA;False;2025-03-06;02;ATIVA;False;;;;;False
54346116000378;TORREZAN MINIMARKET - BERTOLIN II;4712100;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;Varejo alimentar;Média;NOVA POMPEIA;NOVA POMPEIA;False;2025-03-08;02;ATIVA;False;;;;;False
59806608000150;;4781400;Comércio varejista de artigos do vestuário e acessórios;Moda;Alta;RESIDENCIAL BELA VISTA;RESIDENCIAL BELA VISTA;False;2025-03-09;02;ATIVA;False;;;;;False
59815586000195;;4781400;Comércio varejista de artigos do vestuário e acessórios;Moda;Alta;JARDIM SAO FRANCISCO;JARDIM SAO FRANCISCO;False;2025-03-10;08;BAIXADA;True;2025-04-27;2025;4;2022-2026;True
59817375000191;ML ADMINISTRADORA;4789099;Comércio varejista de outros produtos não especificados anteriormente;Outros varejos;Média;POMPEIA;POMPEIA;False;2025-03-10;02;ATIVA;False;;;;;False
54555316000179;;4781400;Comércio varejista de artigos do vestuário e acessórios;Moda;Alta;CIDADE ALTA;CIDADE ALTA;False;2024-04-02;08;BAIXADA;True;2025-03-10;2025;3;2022-2026;True
59854220000125;;4742300;Comércio varejista de material elétrico;Casa e construção;Média;TAQUARAL;TAQUARAL;False;2025-03-12;08;BAIXADA;True;2026-01-13;2026;1;2022-2026;True
